ID_Unico,Fondo_Documental,Nombre_Original,Nombre_Normalizado,Carpeta_Fisica,Numero_Documento,Tipo_Documental,Titulo,Fecha_Exacta,Fecha_Aproximada,Año,Autor_Emisor,Destinatario,Institucion_Vinculada,Lugar,Tema_Principal,Descripcion_Breve,Palabras_Clave,Soporte_Original_Inferido,Idioma,Cantidad_Paginas,Estado_Legibilidad,Estado_Conservacion_Inferido,Valor_Administrativo,Valor_Historico,Valor_Patrimonial,Nivel_Acceso,Duplicado_SN,Documento_Incompleto_SN,OCR_Revisado_SN,Ruta_Almacenamiento,Observaciones,Medidas
34,Estación La Lata – Cardona,LL_Carpeta03_DOC0010.pdf,LL_Carpeta03_DOC0010.pdf,Carpeta03,DOC0010,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0010.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
35,Estación La Lata – Cardona,LL_Carpeta03_DOC0011.pdf,LL_Carpeta03_DOC0011.pdf,Carpeta03,DOC0011,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0011.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
36,Estación La Lata – Cardona,LL_Carpeta03_DOC0012.pdf,LL_Carpeta03_DOC0012.pdf,Carpeta03,DOC0012,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0012.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
37,Estación La Lata – Cardona,LL_Carpeta03_DOC0013.pdf,LL_Carpeta03_DOC0013.pdf,Carpeta03,DOC0013,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0013.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
38,Estación La Lata – Cardona,LL_Carpeta03_DOC0014.pdf,LL_Carpeta03_DOC0014.pdf,Carpeta03,DOC0014,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0014.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
39,Estación La Lata – Cardona,LL_Carpeta03_DOC0015.pdf,LL_Carpeta03_DOC0015.pdf,Carpeta03,DOC0015,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0015.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
40,Estación La Lata – Cardona,LL_Carpeta03_DOC0016.pdf,LL_Carpeta03_DOC0016.pdf,Carpeta03,DOC0016,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0016.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
41,Estación La Lata – Cardona,LL_Carpeta03_DOC0017.pdf,LL_Carpeta03_DOC0017.pdf,Carpeta03,DOC0017,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0017.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
42,Estación La Lata – Cardona,LL_Carpeta03_DOC0018.pdf,LL_Carpeta03_DOC0018.pdf,Carpeta03,DOC0018,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0018.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
43,Estación La Lata – Cardona,LL_Carpeta03_DOC0019.pdf,LL_Carpeta03_DOC0019.pdf,Carpeta03,DOC0019,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0019.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
44,Estación La Lata – Cardona,LL_Carpeta03_DOC0020.pdf,LL_Carpeta03_DOC0020.pdf,Carpeta03,DOC0020,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0020.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
45,Estación La Lata – Cardona,LL_Carpeta03_DOC0021.pdf,LL_Carpeta03_DOC0021.pdf,Carpeta03,DOC0021,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0021.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
46,Estación La Lata – Cardona,LL_Carpeta03_DOC0022.pdf,LL_Carpeta03_DOC0022.pdf,Carpeta03,DOC0022,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0022.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
47,Estación La Lata – Cardona,LL_Carpeta03_DOC0023.pdf,LL_Carpeta03_DOC0023.pdf,Carpeta03,DOC0023,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0023.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
48,Estación La Lata – Cardona,LL_Carpeta03_DOC0024.pdf,LL_Carpeta03_DOC0024.pdf,Carpeta03,DOC0024,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0024.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
49,Estación La Lata – Cardona,LL_Carpeta03_DOC0025.pdf,LL_Carpeta03_DOC0025.pdf,Carpeta03,DOC0025,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0025.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
50,Estación La Lata – Cardona,LL_Carpeta03_DOC0026.pdf,LL_Carpeta03_DOC0026.pdf,Carpeta03,DOC0026,[Requiere catalogación],[Requiere catalogación],,[Requiere análisis],,[Requiere análisis],,[Requiere análisis],Uruguay,[Requiere análisis],[Documento de Carpeta03 - requiere catalogación manual por baja legibilidad OCR],[Requiere análisis],Papel,[Requiere análisis],1,[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],[Requiere análisis],Público,No,[Requiere análisis],No,Carpeta03/LL_Carpeta03_DOC0026.pdf,Documento de Carpeta03 convertido de JPG a PDF. OCR aplicado pero requiere revisión manual debido a posible baja calidad de imagen original.,[Requiere medición]
